Epoch 1: Train Loss=44.5079, Train Acc=0.3340, Val Acc=0.4821
Epoch 2: Train Loss=34.6460, Train Acc=0.5149, Val Acc=0.4732
Epoch 3: Train Loss=30.3698, Train Acc=0.5746, Val Acc=0.5893
Epoch 4: Train Loss=26.6528, Train Acc=0.6642, Val Acc=0.6518
Epoch 5: Train Loss=20.1540, Train Acc=0.7612, Val Acc=0.6339
Epoch 6: Train Loss=16.1723, Train Acc=0.7966, Val Acc=0.6875
Epoch 7: Train Loss=12.6666, Train Acc=0.8507, Val Acc=0.7232
Epoch 8: Train Loss=6.8314, Train Acc=0.9310, Val Acc=0.7143
Epoch 9: Train Loss=6.8317, Train Acc=0.9123, Val Acc=0.7321
Epoch 10: Train Loss=8.0595, Train Acc=0.9030, Val Acc=0.7857
Epoch 11: Train Loss=3.2167, Train Acc=0.9683, Val Acc=0.7768
Epoch 12: Train Loss=5.9074, Train Acc=0.9440, Val Acc=0.7589
Epoch 13: Train Loss=5.1855, Train Acc=0.9571, Val Acc=0.7500
Epoch 14: Train Loss=3.6929, Train Acc=0.9496, Val Acc=0.7946
Epoch 15: Train Loss=2.2835, Train Acc=0.9757, Val Acc=0.7946
Epoch 16: Train Loss=1.5468, Train Acc=0.9851, Val Acc=0.7679
Epoch 17: Train Loss=4.0195, Train Acc=0.9608, Val Acc=0.7857
Epoch 18: Train Loss=1.8416, Train Acc=0.9851, Val Acc=0.7500
Epoch 19: Train Loss=1.2584, Train Acc=0.9851, Val Acc=0.8393
Epoch 20: Train Loss=0.4884, Train Acc=0.9963, Val Acc=0.8125
Epoch 21: Train Loss=0.1245, Train Acc=1.0000, Val Acc=0.8304
Epoch 22: Train Loss=0.0588, Train Acc=1.0000, Val Acc=0.8393
Epoch 23: Train Loss=0.0439, Train Acc=1.0000, Val Acc=0.8214
Epoch 24: Train Loss=0.0352, Train Acc=1.0000, Val Acc=0.8304
Epoch 25: Train Loss=0.0302, Train Acc=1.0000, Val Acc=0.8393
Epoch 26: Train Loss=0.0263, Train Acc=1.0000, Val Acc=0.8393
