Epoch 1: Train Loss=44.7985, Train Acc=0.3601, Val Acc=0.4464
Epoch 2: Train Loss=37.4942, Train Acc=0.4888, Val Acc=0.5268
Epoch 3: Train Loss=33.5157, Train Acc=0.5522, Val Acc=0.5000
Epoch 4: Train Loss=32.3099, Train Acc=0.5765, Val Acc=0.5357
Epoch 5: Train Loss=30.2291, Train Acc=0.5951, Val Acc=0.5625
Epoch 6: Train Loss=29.1534, Train Acc=0.6362, Val Acc=0.5714
Epoch 7: Train Loss=25.8565, Train Acc=0.6642, Val Acc=0.5804
Epoch 8: Train Loss=25.7165, Train Acc=0.6847, Val Acc=0.5536
Epoch 9: Train Loss=24.3465, Train Acc=0.6791, Val Acc=0.6250
Epoch 10: Train Loss=21.7868, Train Acc=0.7313, Val Acc=0.6161
Epoch 11: Train Loss=20.8296, Train Acc=0.7575, Val Acc=0.6161
Epoch 12: Train Loss=19.9784, Train Acc=0.7668, Val Acc=0.6429
Epoch 13: Train Loss=17.3385, Train Acc=0.8041, Val Acc=0.6071
Epoch 14: Train Loss=16.2415, Train Acc=0.8190, Val Acc=0.6071
Epoch 15: Train Loss=15.7952, Train Acc=0.8321, Val Acc=0.6071
Epoch 16: Train Loss=13.9266, Train Acc=0.8601, Val Acc=0.5893
Epoch 17: Train Loss=13.4174, Train Acc=0.8526, Val Acc=0.6161
Epoch 18: Train Loss=12.9163, Train Acc=0.8507, Val Acc=0.5893
Epoch 19: Train Loss=11.7318, Train Acc=0.8713, Val Acc=0.6786
Epoch 20: Train Loss=10.7364, Train Acc=0.8806, Val Acc=0.6339
Epoch 21: Train Loss=14.4081, Train Acc=0.8246, Val Acc=0.6339
Epoch 22: Train Loss=10.3468, Train Acc=0.8918, Val Acc=0.6429
Epoch 23: Train Loss=9.1990, Train Acc=0.9142, Val Acc=0.6071
Epoch 24: Train Loss=7.8676, Train Acc=0.9216, Val Acc=0.6696
Epoch 25: Train Loss=7.9171, Train Acc=0.9198, Val Acc=0.6429
Epoch 26: Train Loss=7.5839, Train Acc=0.9179, Val Acc=0.6339
