Epoch 1: Train Loss=46.2314, Train Acc=0.3377, Val Acc=0.4643
Epoch 2: Train Loss=38.8787, Train Acc=0.4459, Val Acc=0.5625
Epoch 3: Train Loss=34.4450, Train Acc=0.5373, Val Acc=0.5625
Epoch 4: Train Loss=30.3446, Train Acc=0.5989, Val Acc=0.5357
Epoch 5: Train Loss=26.9716, Train Acc=0.6437, Val Acc=0.6429
Epoch 6: Train Loss=24.1600, Train Acc=0.7071, Val Acc=0.5893
Epoch 7: Train Loss=21.4287, Train Acc=0.7295, Val Acc=0.7500
Epoch 8: Train Loss=17.2657, Train Acc=0.8097, Val Acc=0.6786
Epoch 9: Train Loss=15.1304, Train Acc=0.8396, Val Acc=0.7768
Epoch 10: Train Loss=11.5531, Train Acc=0.8862, Val Acc=0.6786
Epoch 11: Train Loss=10.9071, Train Acc=0.8769, Val Acc=0.6696
Epoch 12: Train Loss=9.2625, Train Acc=0.9011, Val Acc=0.7500
Epoch 13: Train Loss=7.2488, Train Acc=0.9216, Val Acc=0.7500
Epoch 14: Train Loss=8.7100, Train Acc=0.9049, Val Acc=0.6518
Epoch 15: Train Loss=6.5556, Train Acc=0.9422, Val Acc=0.8393
Epoch 16: Train Loss=5.9522, Train Acc=0.9347, Val Acc=0.7946
Epoch 17: Train Loss=2.6934, Train Acc=0.9776, Val Acc=0.8482
Epoch 18: Train Loss=1.4580, Train Acc=0.9851, Val Acc=0.7857
Epoch 19: Train Loss=1.7701, Train Acc=0.9869, Val Acc=0.7768
Epoch 20: Train Loss=3.9836, Train Acc=0.9683, Val Acc=0.7589
Epoch 21: Train Loss=1.7343, Train Acc=0.9888, Val Acc=0.7589
Epoch 22: Train Loss=1.7901, Train Acc=0.9888, Val Acc=0.7768
Epoch 23: Train Loss=1.0571, Train Acc=0.9888, Val Acc=0.8125
Epoch 24: Train Loss=1.7695, Train Acc=0.9888, Val Acc=0.7946
