Epoch 1: Train Loss=44.7256, Train Acc=0.4254, Val Acc=0.5982
Epoch 2: Train Loss=32.7871, Train Acc=0.5821, Val Acc=0.6607
Epoch 3: Train Loss=25.5891, Train Acc=0.6660, Val Acc=0.6250
Epoch 4: Train Loss=23.8358, Train Acc=0.7015, Val Acc=0.6339
Epoch 5: Train Loss=21.1943, Train Acc=0.7201, Val Acc=0.7232
Epoch 6: Train Loss=19.6035, Train Acc=0.7463, Val Acc=0.7321
Epoch 7: Train Loss=17.3038, Train Acc=0.7743, Val Acc=0.7589
Epoch 8: Train Loss=15.8037, Train Acc=0.8134, Val Acc=0.7054
Epoch 9: Train Loss=15.7524, Train Acc=0.8228, Val Acc=0.7589
Epoch 10: Train Loss=13.2379, Train Acc=0.8396, Val Acc=0.7857
Epoch 11: Train Loss=12.0525, Train Acc=0.8619, Val Acc=0.7857
Epoch 12: Train Loss=10.7654, Train Acc=0.8787, Val Acc=0.7589
Epoch 13: Train Loss=11.5068, Train Acc=0.8619, Val Acc=0.7679
Epoch 14: Train Loss=9.6766, Train Acc=0.8843, Val Acc=0.7857
Epoch 15: Train Loss=8.1072, Train Acc=0.9123, Val Acc=0.8036
Epoch 16: Train Loss=7.6703, Train Acc=0.9179, Val Acc=0.7321
Epoch 17: Train Loss=6.8082, Train Acc=0.9142, Val Acc=0.7768
Epoch 18: Train Loss=5.6606, Train Acc=0.9366, Val Acc=0.7946
Epoch 19: Train Loss=5.8999, Train Acc=0.9291, Val Acc=0.7768
Epoch 20: Train Loss=6.3645, Train Acc=0.9235, Val Acc=0.8125
Epoch 21: Train Loss=5.1253, Train Acc=0.9459, Val Acc=0.8482
Epoch 22: Train Loss=4.4620, Train Acc=0.9608, Val Acc=0.7946
Epoch 23: Train Loss=3.6946, Train Acc=0.9757, Val Acc=0.8482
Epoch 24: Train Loss=3.4771, Train Acc=0.9701, Val Acc=0.7857
Epoch 25: Train Loss=5.1534, Train Acc=0.9254, Val Acc=0.7946
Epoch 26: Train Loss=3.1409, Train Acc=0.9776, Val Acc=0.8214
Epoch 27: Train Loss=3.1563, Train Acc=0.9776, Val Acc=0.8304
Epoch 28: Train Loss=2.1224, Train Acc=0.9869, Val Acc=0.8214
