Epoch 1: Train Loss=61.5161, Train Acc=0.3463, Val Acc=0.4573
Epoch 2: Train Loss=50.2909, Train Acc=0.4505, Val Acc=0.5290
Epoch 3: Train Loss=49.0841, Train Acc=0.4893, Val Acc=0.5290
Epoch 4: Train Loss=44.9645, Train Acc=0.5307, Val Acc=0.6007
Epoch 5: Train Loss=44.4296, Train Acc=0.5548, Val Acc=0.6246
Epoch 6: Train Loss=42.7389, Train Acc=0.5548, Val Acc=0.5666
Epoch 7: Train Loss=39.6446, Train Acc=0.6110, Val Acc=0.6689
Epoch 8: Train Loss=39.9529, Train Acc=0.5749, Val Acc=0.6962
Epoch 9: Train Loss=37.6607, Train Acc=0.6163, Val Acc=0.7235
Epoch 10: Train Loss=34.5501, Train Acc=0.6751, Val Acc=0.7201
Epoch 11: Train Loss=33.2487, Train Acc=0.6698, Val Acc=0.6860
Epoch 12: Train Loss=32.4738, Train Acc=0.6925, Val Acc=0.7509
Epoch 13: Train Loss=27.3643, Train Acc=0.7447, Val Acc=0.7065
Epoch 14: Train Loss=25.4131, Train Acc=0.7620, Val Acc=0.8294
Epoch 15: Train Loss=20.2281, Train Acc=0.8088, Val Acc=0.8498
Epoch 16: Train Loss=19.1862, Train Acc=0.8316, Val Acc=0.8635
Epoch 17: Train Loss=18.3204, Train Acc=0.8316, Val Acc=0.8840
Epoch 18: Train Loss=16.2085, Train Acc=0.8610, Val Acc=0.8567
Epoch 19: Train Loss=15.3828, Train Acc=0.8596, Val Acc=0.8089
Epoch 20: Train Loss=17.5407, Train Acc=0.8449, Val Acc=0.8976
Epoch 21: Train Loss=16.7283, Train Acc=0.8570, Val Acc=0.9181
Epoch 22: Train Loss=12.2197, Train Acc=0.9024, Val Acc=0.9283
Epoch 23: Train Loss=11.8014, Train Acc=0.8984, Val Acc=0.8396
Epoch 24: Train Loss=14.8809, Train Acc=0.8730, Val Acc=0.9386
Epoch 25: Train Loss=9.1384, Train Acc=0.9265, Val Acc=0.9420
Epoch 26: Train Loss=10.0203, Train Acc=0.9064, Val Acc=0.9420
Epoch 27: Train Loss=7.8472, Train Acc=0.9385, Val Acc=0.9488
Epoch 28: Train Loss=9.5823, Train Acc=0.9144, Val Acc=0.9317
Epoch 29: Train Loss=11.2610, Train Acc=0.9091, Val Acc=0.9556
Epoch 30: Train Loss=8.4516, Train Acc=0.9345, Val Acc=0.9249
