Epoch 1: Train Loss=60.2698, Train Acc=0.3088, Val Acc=0.5263
Epoch 2: Train Loss=47.3145, Train Acc=0.4901, Val Acc=0.6077
Epoch 3: Train Loss=48.8667, Train Acc=0.4703, Val Acc=0.5598
Epoch 4: Train Loss=41.5289, Train Acc=0.5581, Val Acc=0.6124
Epoch 5: Train Loss=37.7097, Train Acc=0.5963, Val Acc=0.6364
Epoch 6: Train Loss=34.2177, Train Acc=0.6657, Val Acc=0.7033
Epoch 7: Train Loss=32.8775, Train Acc=0.6941, Val Acc=0.7225
Epoch 8: Train Loss=31.3638, Train Acc=0.6898, Val Acc=0.6842
Epoch 9: Train Loss=27.0554, Train Acc=0.7465, Val Acc=0.8182
Epoch 10: Train Loss=24.6471, Train Acc=0.7989, Val Acc=0.8230
Epoch 11: Train Loss=22.1343, Train Acc=0.8003, Val Acc=0.8230
Epoch 12: Train Loss=18.3592, Train Acc=0.8385, Val Acc=0.7751
Epoch 13: Train Loss=16.8650, Train Acc=0.8470, Val Acc=0.8804
Epoch 14: Train Loss=16.0008, Train Acc=0.8584, Val Acc=0.8469
Epoch 15: Train Loss=17.0385, Train Acc=0.8456, Val Acc=0.9282
Epoch 16: Train Loss=9.9298, Train Acc=0.9193, Val Acc=0.9234
Epoch 17: Train Loss=9.1558, Train Acc=0.9164, Val Acc=0.8995
Epoch 18: Train Loss=14.4097, Train Acc=0.8839, Val Acc=0.9378
Epoch 19: Train Loss=6.7554, Train Acc=0.9462, Val Acc=0.8852
Epoch 20: Train Loss=9.0269, Train Acc=0.9249, Val Acc=0.9474
Epoch 21: Train Loss=4.2895, Train Acc=0.9660, Val Acc=0.9522
Epoch 22: Train Loss=6.2003, Train Acc=0.9688, Val Acc=0.9426
Epoch 23: Train Loss=15.6316, Train Acc=0.8881, Val Acc=0.9474
Epoch 24: Train Loss=7.6371, Train Acc=0.9391, Val Acc=0.9282
Epoch 25: Train Loss=2.5479, Train Acc=0.9830, Val Acc=0.9617
Epoch 26: Train Loss=0.7417, Train Acc=0.9972, Val Acc=0.8708
Epoch 27: Train Loss=6.9900, Train Acc=0.9363, Val Acc=0.9426
Epoch 28: Train Loss=4.8594, Train Acc=0.9632, Val Acc=0.9139
Epoch 29: Train Loss=4.1407, Train Acc=0.9660, Val Acc=0.9522
Epoch 30: Train Loss=1.2010, Train Acc=0.9958, Val Acc=0.9474
