Epoch 1: Train Loss=37.4745, Train Acc=0.3868, Val Acc=0.5468
Epoch 2: Train Loss=32.2528, Train Acc=0.5253, Val Acc=0.5899
Epoch 3: Train Loss=27.8423, Train Acc=0.6110, Val Acc=0.6475
Epoch 4: Train Loss=25.3602, Train Acc=0.6527, Val Acc=0.6763
Epoch 5: Train Loss=23.1252, Train Acc=0.6857, Val Acc=0.7482
Epoch 6: Train Loss=20.7903, Train Acc=0.7363, Val Acc=0.8058
Epoch 7: Train Loss=19.3084, Train Acc=0.7407, Val Acc=0.8058
Epoch 8: Train Loss=17.0523, Train Acc=0.7956, Val Acc=0.8561
Epoch 9: Train Loss=15.5409, Train Acc=0.8330, Val Acc=0.8849
Epoch 10: Train Loss=14.6580, Train Acc=0.8352, Val Acc=0.8201
Epoch 11: Train Loss=13.9467, Train Acc=0.8242, Val Acc=0.9137
Epoch 12: Train Loss=12.8045, Train Acc=0.8637, Val Acc=0.9065
Epoch 13: Train Loss=11.7947, Train Acc=0.8484, Val Acc=0.9424
Epoch 14: Train Loss=10.5630, Train Acc=0.9055, Val Acc=0.9424
Epoch 15: Train Loss=10.4159, Train Acc=0.8879, Val Acc=0.9353
Epoch 16: Train Loss=10.0312, Train Acc=0.8901, Val Acc=0.9496
Epoch 17: Train Loss=8.9023, Train Acc=0.9055, Val Acc=0.9424
Epoch 18: Train Loss=8.0882, Train Acc=0.9341, Val Acc=0.9281
Epoch 19: Train Loss=8.0653, Train Acc=0.9385, Val Acc=0.9281
Epoch 20: Train Loss=7.1733, Train Acc=0.9275, Val Acc=0.9281
Epoch 21: Train Loss=7.0610, Train Acc=0.9275, Val Acc=0.9424
Epoch 22: Train Loss=6.5653, Train Acc=0.9319, Val Acc=0.9353
Epoch 23: Train Loss=6.5418, Train Acc=0.9451, Val Acc=0.9496
