Epoch 1: Train Loss=40.4240, Train Acc=0.3978, Val Acc=0.6667
Epoch 2: Train Loss=35.8983, Train Acc=0.5527, Val Acc=0.6815
Epoch 3: Train Loss=30.0764, Train Acc=0.6860, Val Acc=0.7259
Epoch 4: Train Loss=26.0782, Train Acc=0.6796, Val Acc=0.7704
Epoch 5: Train Loss=22.2017, Train Acc=0.7462, Val Acc=0.8074
Epoch 6: Train Loss=18.9709, Train Acc=0.7806, Val Acc=0.8741
Epoch 7: Train Loss=17.0857, Train Acc=0.8237, Val Acc=0.8963
Epoch 8: Train Loss=15.1743, Train Acc=0.8624, Val Acc=0.9037
Epoch 9: Train Loss=13.6438, Train Acc=0.8409, Val Acc=0.9111
Epoch 10: Train Loss=11.8214, Train Acc=0.8860, Val Acc=0.9111
Epoch 11: Train Loss=11.1121, Train Acc=0.8946, Val Acc=0.9333
Epoch 12: Train Loss=10.6467, Train Acc=0.8968, Val Acc=0.9333
Epoch 13: Train Loss=9.4132, Train Acc=0.9118, Val Acc=0.9259
Epoch 14: Train Loss=8.9948, Train Acc=0.9161, Val Acc=0.9259
Epoch 15: Train Loss=7.9013, Train Acc=0.9247, Val Acc=0.9407
Epoch 16: Train Loss=7.1993, Train Acc=0.9398, Val Acc=0.9333
Epoch 17: Train Loss=6.6401, Train Acc=0.9333, Val Acc=0.9407
Epoch 18: Train Loss=6.1242, Train Acc=0.9505, Val Acc=0.9630
Epoch 19: Train Loss=5.8586, Train Acc=0.9484, Val Acc=0.9481
Epoch 20: Train Loss=5.3920, Train Acc=0.9591, Val Acc=0.9407
Epoch 21: Train Loss=5.4022, Train Acc=0.9484, Val Acc=0.9704
Epoch 22: Train Loss=4.9408, Train Acc=0.9699, Val Acc=0.9704
Epoch 23: Train Loss=4.5080, Train Acc=0.9634, Val Acc=0.9704
Epoch 24: Train Loss=4.2628, Train Acc=0.9763, Val Acc=0.9778
Epoch 25: Train Loss=3.8830, Train Acc=0.9806, Val Acc=0.9630
Epoch 26: Train Loss=3.6007, Train Acc=0.9785, Val Acc=0.9778
Epoch 27: Train Loss=3.0870, Train Acc=0.9849, Val Acc=0.9852
Epoch 28: Train Loss=3.4462, Train Acc=0.9785, Val Acc=0.9778
Epoch 29: Train Loss=3.1072, Train Acc=0.9785, Val Acc=0.9704
Epoch 30: Train Loss=3.0761, Train Acc=0.9892, Val Acc=0.9778
